repo,ruta_backlog,convencion,n_coincidencias,max_backlog,huecos_internos,traspaso_vigente,n_traspasos_a_la_vista,declarado_en_traspaso,linea_origen,delta,clase,sucio,rama,instante_medicion
slep_alertas_ael,,sin_backlog,,,,traspaso-cierre-v02.md,2,,,,sin_backlog,3,main,2026-08-26T20:27:40-0400
slep_aprendizajes_ep,50_documentacion/activa/backlog_acumulativo.md,lista_num,866,854,,traspaso_cierre_v126.md,1,,,,calza,0,main,2026-08-26T20:27:40-0400
slep_categoria_desempeno,50_documentacion/activa/backlog_acumulativo.md,lista_num,90,90,,traspaso_cierre_v28.md,28,90,`backlog_acumulativo.md` (pendiente #1 de v27) y se agregó la entrada 90,0,calza,1,main,2026-08-26T20:27:41-0400
slep_costapresente,,sin_backlog,,,,traspaso-cierre-v01.md,1,4,"Cada ítem del backlog representa una solicitud distinguible del usuario, no las acciones técnicas para implementarla. Lo",,sin_backlog,0,main,2026-08-26T20:27:41-0400
slep_dashboard_personal_monitoreo,,sin_backlog,,,,traspaso_cierre_v17.md,15,50,Este traspaso se redacta en **formato híbrido**: respeta la estructura usada en los traspasos v01–v16 del proyecto (cont,,sin_backlog,0,main,2026-08-26T20:27:41-0400
slep_estado_proyectos_monitoreo,50_documentacion/activa/backlog_acumulativo.md,lista_num,71,77,55-61,traspaso_cierre_v12.md,1,77,"Entradas nuevas 68 a 77, en el bloque BACKLOG_ENTRADAS de este paquete. El archivo llega",0,hueco_interno,0,main,2026-08-26T20:27:41-0400
slep_estudio_oferta_demanda,50_documentacion/activa/backlog_acumulativo.md,lista_num,45,45,,traspaso_cierre_v09.md,9,5,- ⚠️ NO commitear el traspaso v09 sin antes fusionar el backlog íntegro (§5) —,-40,calza,6,main,2026-08-26T20:27:41-0400
slep_georreferenciacion,50_documentacion/activa/backlog_acumulativo.md,lista_num,187,184,,traspaso_cierre_v29.md,1,184,"11 entradas nuevas, tramo 174 a 184. Detalle en",0,calza,0,main,2026-08-26T20:27:41-0400
slep_gestion_solicitudes_compras,50_documentacion/activa/backlog_acumulativo.md,lista_num,122,118,,traspaso_cierre_v16.md,1,118,"Nueve entradas nuevas, 110 a 118. El archivo canónico es `50_documentacion/activa/backlog_acumulativo.md` y su detalle n",0,calza,0,main,2026-08-26T20:27:41-0400
slep_idps,50_documentacion/activa/backlog_acumulativo.md,tabla,25,25,,traspaso_cierre_v28.md,28,,,,calza,3,main,2026-08-26T20:27:41-0400
slep_lectoescritura,50_documentacion/activa/backlog_acumulativo.md,lista_num,34,32,,traspaso_cierre_v08.md,8,,,,calza,0,main,2026-08-26T20:27:41-0400
slep_minuta_asistencia,50_documentacion/activa/backlog_acumulativo.md,id_alfanum,42,37,,traspaso_cierre_v76.md,1,37,"- **Qué:** retrato regenerado, dieciséis entradas nuevas de backlog (C-022 a C-037)",0,calza,6,main,2026-08-26T20:27:41-0400
slep_minuta_buenas_senales,50_documentacion/activa/backlog_acumulativo.md,lista_num,19,19,,,0,,,,sin_traspaso,0,main,2026-08-26T20:27:41-0400
slep_minuta_desvinculacion,,sin_backlog,,,,traspaso_cierre_v37.md,31,,,,sin_backlog,0,main,2026-08-26T20:27:41-0400
slep_minuta_matricula,,sin_backlog,,,,,0,,,,sin_git,,,2026-08-26T20:27:41-0400
slep_monitoreo,50_documentacion/activa/backlog_acumulativo.md,lista_num,134,134,,traspaso_cierre_v17.md,1,50,"> `backlog_acumulativo.md`, `50_fundamento_seccion_formacion.md`,",-84,calza,0,main,2026-08-26T20:27:41-0400
slep_normativa_convivencia,50_documentacion/activa/backlog_acumulativo.md,lista_num,17,17,,traspaso_cierre_v01.md,1,1,en `50_documentacion/activa/backlog_acumulativo.md` (tramo 1→17). Ver ese,-16,calza,0,main,2026-08-26T20:27:41-0400
slep_observatorio_medios,50_documentacion/activa/backlog_acumulativo.md,lista_num,33,33,,traspaso_cierre_v04.md,1,4,| E-40 | Primera emisión del paquete de cierre v04 | F0 del instrumento detuvo el cierre | Omití el bloque `BACKLOG_NARR,-29,calza,0,main,2026-08-26T20:27:41-0400
slep_paes,50_documentacion/activa/backlog_acumulativo.md,lista_num,52,52,,traspaso_cierre_v07.md,7,52,5. **Discrepancia de conteo del backlog (52 vs. 59 declarado en v06).** Ver,0,calza,0,main,2026-08-26T20:27:41-0400
slep_rendimiento_historico,,sin_backlog,,,,traspaso_cierre_v05.md,5,10,**Delta del backlog:** +10 entradas (C52-C61). Categorías de la sesión:,,sin_backlog,22,main,2026-08-26T20:27:41-0400
slep_reporte_emergencia,50_documentacion/activa/backlog_acumulativo.md,lista_num,255,252,,traspaso_cierre_v51.md,4,252,"| 3 | `test_sitio.R:2868` asigna string a la columna lógica `verifico_terreno` | v50, entrada 252 | Mitigado en el helpe",0,calza,0,main,2026-08-26T20:27:41-0400
slep_reportes_modelo_resguardo_asistencia,50_documentacion/activa/backlog_acumulativo.md,lista_num,491,491,,traspaso_cierre_v85.md,1,476,La sesión abrió por emergencia: el candado 0bis falló en dos de sus cuatro condiciones porque el cierre de la 84 dejó cu,-15,calza,11,main,2026-08-26T20:27:41-0400
slep_resena_proyectos,,sin_backlog,,,,,0,,,,sin_git,,,2026-08-26T20:27:41-0400
slep_seguimiento_educacion_inicial,50_documentacion/activa/backlog_acumulativo.md,tabla,35,34,,traspaso_cierre_v34.md,26,197,"- **Archivo:** `50_documentacion/activa/backlog_consolidado.md` (nuevo, 197 líneas). **Categoría:** Documentación.",163,calza,0,main,2026-08-26T20:27:41-0400
slep_simce_adecuado,50_documentacion/activa/backlog_acumulativo.md,lista_num,138,138,,traspaso_cierre_v27.md,27,27,**Delta del backlog s27:** no aplicado. Total acumulado sigue en 133 (v26) hasta que se registre esta sesión.,-111,calza,0,main,2026-08-26T20:27:41-0400
slep_simce_estandares_aprendizaje,,sin_backlog,,,,traspaso_cierre_v14.md,22,1,Backlog acumulado desde sesión 1. Los números son correlativos globales y no se reinician.,,sin_backlog,3,main,2026-08-26T20:27:42-0400
